orgnr;navn;ansatte;hjemmeside;beskrivelse;auto_kategori;auto_ord;auto_typer;manual_informativ (ja/nei);manual_forretningstype
932228416;AKERSHUS ELEKTROSERVICE AS;17;;Elektrikertjenester.;generic;elektrikertjenester;;;
989373560;AKSJESELSKAPET ELEKTRO GRUPPEN;26;;Utførelse av elektromontasje, kjøp og salg av elektriske artikler samt annen tilliggende virksomhet.;specific;artikler elektromontasje tilliggende utførelse;trade/retail;;
932830175;AKTIV ELEKTRO AS;9;;Bygging og vedlikehold av andres elektriske anlegg og hva dermed står i forbindelse. Handel, investeringer i andre selskap og hva dermed står i forbindelse. Deltakelse i andre lignende selskaper. Kjøp og salg av varer og tjenester.;specific;andres bygging deltakelse selskaper varer;trade/retail;;
966918942;AL ELEKTRISKE AS;16;;Elektriske installasjoner og vedlikehold, samt alt hva hermed står i forbindelse.;boilerplate;;installation;;
915078990;AL ELEKTRO AS;17;;Prosjektering og installasjon av sterk og svakstrøm.;specific;prosjektering sterk svakstrøm;installation, security/telecom;;
916499310;ALARM & SERVICE AS;9;;Salg og serviceoppdrag på alarmsystemer og sikkerhetsprodukter.;specific;alarmsystemer serviceoppdrag sikkerhetsprodukter;security/telecom;;
991059512;ALARMSERVICE AS;21;;Salg av installasjonstjenester av elektroprodukter innen svakstrøm og sikkerhet og andre produkter som naturlig faller sammen med dette, herunder å delta i andre selskaper med lignende virksomhet. I tillegg kan selskapet drive kjøp og salg av eiendom.;specific;elektroprodukter faller installasjonstjenester sikkerhet svakstrøm tillegg;installation, security/telecom;;
972410438;ALFA ELEKTRO AS;30;;Konsulenttjenster innen maritim elektronikk, salg, installasjon og reparasjon av elektriske anlegg i skip og industribedrifter og hva dermed står i forbindelse, samt ved aksjetegning eller på annen måte gjøre seg interessert i andre økonomiske foretagender.;specific;aksjetegning elektronikk foretagender gjøre industribedrifter interessert konsulenttjenster maritim måte reparasjon seg skip økonomiske;installation, automation/industrial;;
967725560;ALFAELKIDA AS;23;alfaelkida.no;Virksomhet innen elektroinstallasjon, samt annen virksomhet forbundet med dette. Selskapet kan eie fast eiendom.;specific;eie fast forbundet;installation;;
997795520;ALFRED NESSET AUTOMASJON AS;22;www-alfrednesset.no;Handel, produksjon, salg av automasjonstjenester.;generic;automasjonstjenester;automation/industrial, trade/retail;;
991869565;ALGRØY ELEKTRO AS;24;;Drive elektrisk installasjon og hva hermed står i forbindelse.;boilerplate;;installation;;
916606745;ALLSIDIG ELEKTRO AS;8;;Elektrisk installasjonsarbeid, og annet som naturlig hører inn under dette.;generic;inn;installation;;
921888945;ALLTEC AS;61;www.alltec.no;Utvikle og levere produkter, systemer og tjenester til nasjonal og internasjonal fornybar energiproduksjon, samt drive virksomhet som står i tilknytning til dette, inkludert deltakelse i andre selskaper.;specific;deltakelse energiproduksjon fornybar inkludert internasjonal nasjonal selskaper systemer;solar/energy;;
919085592;ALLTI ELEKTRO AS;5;;Fremstilling/salg av elektro installasjoner og andre produkter som naturlig faller sammen med dette, herunder delta i andre selskaper med lignende virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg interessert i andre foretagender.;specific;delta faller foretagender fremstilling gjøre interessert måte seg selskaper;installation;;
917290970;ALNA ELEKTRO AS;10;;Elektrisk installasjonsarbeid og andre tjenester og produkter som naturlig faller sammen med dette.;generic;faller;installation;;
915767362;ALPHA ELEKTRO AS;39;;Næringsvirksomhet innen elektrobransjen.;generic;elektrobransjen næringsvirksomhet;;;
926454781;ALT INNEN ELEKTRO OSLO AS;7;;Elektrisk arbeid og salg av varer og tjenester.;generic;arbeid varer;;;
979384378;ALT INSTALLASJON AS;68;;Elektrisk installasjon. Handel med elektrisk materiell.;generic;materiell;installation, trade/retail;;
998804523;ALTI ELEKTRO AS;10;;Elektrikertjenester. Kjøp og salg av egen fast eiendom. Korttidsutleie av hus, hytte, leilighet eller rom. Utleie av fast eiendom.;specific;egen elektrikertjenester fast hus hytte korttidsutleie leilighet rom;;;
928736970;ALTI-EL AS;16;;Elektrisk installasjonsarbeid og salg av elektriske artikler.;generic;artikler;installation, trade/retail;;
982122996;AMDAL ELEKTRO AS;14;;Elektriske installasjoner og dertil tilhørende aktiviteter samt å kunne delta i andre virksomheter.;specific;aktiviteter delta dertil kunne tilhørende;installation;;
929045068;AN ELEKTRO AS;6;;Alt innen elektroinstallasjoner, reparasjoner av installasjoner og utstyr, salg av tilhørende materiell og utstyr, utbedring av småskader på bygninger.;specific;bygninger materiell reparasjoner småskader tilhørende utbedring utstyr;installation;;
919609923;ANDEBU ELEKTRO AS;8;;Å drive elektroinstallasjon, samt ha eierinteresser direkte eller indirekte i alle næringer.;specific;direkte eierinteresser indirekte næringer;installation;;
966922877;ANDERSEN ELEKTRO AS;9;;Handel og installasjon i elektrobransjen, delta i andre selskap ved aksjetegning eller på annen måte samt alt som måtte være forbundet med dette.;specific;aksjetegning delta elektrobransjen forbundet måte være åtte;installation, trade/retail;;
948521806;ANDREASSEN & AASTVEIT AS;15;;Elektrisk installasjonsarbeider, salg av elek- triske artikler m.v., samt deltagelse i andre selskaper med lignende formål.;specific;artikler deltagelse elek- installasjonsarbeider selskaper triske;installation;;
986873120;ANDREASSEN ELEKTRO AS;14;;Elektrisk installasjonsarbeid, med rådgivning.;boilerplate;;installation;;
930618802;ANDØY INSTALLASJON AS;18;www.andoyinstallasjon.no;Drive elektrisk installasjon, salg av elektronikk, skipselektronisk utstyr og annen virksomhet som naturlig står i forbindelse med dette.;specific;elektronikk skipselektronisk utstyr;installation;;
886670362;ANGVIK ELEKTRO AS;14;;Drive nyinnstallasjon, restaurering og service av elektriske istallasjoner innen bolig, industri og landbruk. Samt foreta internkontroller for bedrifter og privatpersoner. Montering av brannalarmer, innbruddsalarmer og tele/data-installasjon. Videre alt som står i forbindelse med dette, herunder deltagelse i andre selskaper med lignende virksomhet.;specific;bolig brannalarmer data-installasjon foreta industri innbruddsalarmer internkontroller istallasjoner landbruk montering nyinnstallasjon privatpersoner restaurering tele videre;installation, automation/industrial, security/telecom;;
933364380;ANVI ELEKTRO AS;6;;Elektrikertjenester.;generic;elektrikertjenester;;;
936959261;AP ELEKTRO AS;5;;Elektrikertjenester.;generic;elektrikertjenester;;;
937155085;AQILA AS;105;;Selge elektroteknisk ingeniør- og konsulent- tjenester, samt alt som står i forbindelse hermed, herunder å delta i andre selskaper med lignende virksomhet.;specific;elektroteknisk ingeniør- konsulent-;;;
814910652;ARCTIC ELEKTRO AS;20;;Elektrisk installatør.;generic;installatør;;;
990513821;ARCTIC INSTALLASJON AS;15;www.arcticinstallasjon.no;Prosjektering og produksjon av elektrotavler, elektriske installasjoner og handel som følge av dette, samt konsulenttjenester vedrørende installasjoner.;specific;elektrotavler følge prosjektering vedrørende;installation, trade/retail;;
918545085;ARCTIQ AS;32;www.arctiq.no;Telekommunikasjon, montørtjenester og andre produkter/tjenester som naturlig hører sammen med dette.;specific;montørtjenester teleko unikasjon;security/telecom;;
916544480;ARENDAL EL TEAM AS;31;;El-installasjon for privat og bedriftskunder.;specific;bedriftskunder el-installasjon privat;installation;;
919424443;AREXA AS;36;www.arexa.no;"Leveranser av sikkerhetsløsninger, samt tjenester for drift og vedlikehold av leverte løsninger. Herunder; Adgangskontroll (on/offline, mek, el-mek), innbruddsalarm, kameraovervåkning, IAM-løsninger, brannalarm, dørtelefoni, foto-ID og kortproduksjon, varesikring, service, etter marked, driftssentral.";specific;adgangskontroll brannalarm driftssentral dørtelefoni el-mek etter foto-id iam-løsninger innbruddsalarm kameraovervåkning kortproduksjon leverte marked mek offline sikkerhetsløsninger varesikring;security/telecom;;
932607131;ARGON ELEKTRO AS;60;www.argon.no;Skips- og husinstallasjoner, skipselektrisk og skipselektronisk service, produksjons-handels- og agenturvirksomhet.;specific;agenturvirksomhet husinstallasjoner produksjons-handels- skips- skipselektrisk skipselektronisk;;;
974413663;ARILD ANDERSEN ELEKTRO AS;7;www.aaelektro.no;Elektronisk installasjonsarbeid. Produksjon av elektriske fordelings- og kontrolltavler og paneler.;specific;elektronisk fordelings- kontrolltavler paneler;installation;;
925669458;ARITECH BERGEN AS;27;;Elektrisk installasjonsarbeid. Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers Byggeteknisk konsulentvirksomhet. Reparasjon av elektrisk utstyr.;specific;byggeteknisk ellers engroshandel maskiner reparasjon transport utstyr;installation, trade/retail;;
952170570;ARKEL ASKER OG BÆRUM AS;34;www.arkel.no;Elektriske installasjonsarbeid.;boilerplate;;installation;;
989031686;ARKEL INNLANDET AS;11;www.arkelinnlandet.no/hjem;Elektroentreprenør og rådgivende ingeniør som selvstendig eller sammen med andre virksomheter innenfor kjerneområde. Kjøp/salg inkl. import og eksport av reklame/profileringsartikler, samt konsulent- og servicetjenester vedrørende disse produkter.;specific;disse ingeniør inkl kjerneområde konsulent- profileringsartikler reklame rådgivende selvstendig servicetjenester vedrørende;;;
984438370;ARKEL OSLO AS;9;www.arkel.no;Elektroentreprenør. Rådgivende ingeniør. Deltagelse i andre selskaper. Kjøp og salg.;specific;deltagelse ingeniør rådgivende selskaper;;;
983668615;ARNE HANSEN INSTALLASJON AS;20;www.ahias.no;Kjøp og salg av elektroartikler og installasjon av disse samt annen virksomhet som naturlig står i forbindels med dette. Selskapet skal likeledes ved aksjetegning eller på annen måte gjøre seg interessert i andre foretagender.;specific;aksjetegning disse elektroartikler forbindels foretagender gjøre interessert likeledes måte seg;installation;;
935179874;ARNEBERG & LUND ELEKTRO AS;14;;Elektrisk installasjon.;boilerplate;;installation;;
979538480;ARRO ELEKTRO AS;49;www.arro.no;Elektroinstallsjon.;generic;elektroinstallsjon;;;
923452672;AS DATA ELEKTRISKE;17;;Elektrisk installasjonsarbeid.;boilerplate;;installation;;
919369884;AS ELEKTRO-MONTERING;5;www.elektromontering.no;Drive elektro-mekanisk verksted med produksjon og agenturvirksomhet og alt som står i forbindelse hermed.;specific;agenturvirksomhet elektro-mekanisk verksted;;;
919231432;AS ELEKTROINSTALLASJON;42;www.elektroinstallasjon.no;Elektroinstallasjon, herunder salg av varer og tjenester, samt investeringer i andre selskaper.;generic;selskaper varer;installation;;
929316606;AS LØTEN ELEKTRO;7;;Levere tjenester innen bygg og anlegg som installasjonsvirksomhet med hovedvekt innen elektro, automasjon, elkontroll og andre tjenester/ produkter som naturlig faller sammen med dette.;specific;automasjon bygg elkontroll faller hovedvekt installasjonsvirksomhet;installation, automation/industrial;;
958862431;AS WATT;27;;Elektroentreprenørarbeid, samt alt hva hermed står i forbindelse, herunder deltagelse i selskaper med tilsvarende formål.;specific;deltagelse elektroentreprenørarbeid selskaper;;;
910295764;ASK ELEKTRO AS;67;;Elektrisk installasjonsvirksomhet og alt som står i forbindelse med dette, samt deltagelse i andre selskaper.;specific;deltagelse installasjonsvirksomhet selskaper;installation;;
888754822;ASKEL INSTALLASJON AS;15;www.askel.no;Elektroentreprenør.;boilerplate;;;;
993135283;ASKER ELEKTRISKE AS;13;;Elektrisk installasjon, samt investering i eiendom og aksjer.;boilerplate;;installation;;
981975731;ASKESTAD-AAS ELEKTRO AS;19;;Elektroinstallasjon.;boilerplate;;installation;;
991031561;ASKIM EL-INSTALLASJON AS;5;;Elektrisk installasjon, salg av elektrisk materiell og det som naturlig hører inn under bransjen.;specific;bransjen inn materiell;installation, trade/retail;;
857884922;ASKØY-BERGEN ELEKTRO AS;39;www.askoy-bergenelektro.no;Elektriske installasjoner, salg av elektriske artikler og utstyr, samt deltagelse i lignende virksomheter.;specific;artikler deltagelse utstyr;installation, trade/retail;;
988606995;ASPN AUTOMATIKKSPESIALISTEN AS;7;;Konstruksjon, bygging og salg av el-fordelingstavler, maskinautomatisering og teknisk overvåkning. Salg av datamaskiner, utstyr til disse og programvare. Utleie av maskiner og utstyr.;specific;bygging datamaskiner disse el-fordelingstavler konstruksjon maskinautomatisering maskiner overvåkning programvare teknisk utstyr;;;
943623341;ASSEMBLIN CAVERION NORGE AS;118;;Drive handel samt deltagelse i andre selskaper.;generic;deltagelse selskaper;trade/retail;;
976862457;ASSISTENT PARTNER AS;25;;Import, produksjon, handel, installasjon og service på tekniske hjelpemidler og kommunikasjonsutstyr og dertil tilhørende konsulentvirksomhet samt deltakelse i andre selskap.;specific;deltakelse dertil hjelpemidler tekniske tilhørende unikasjonsutstyr;installation, trade/retail;;
927906163;ASTO ELEKTRO AS;27;;Elektrikerarbeid, montørarbeid, konsulent-og rådgivningstjenester innen el-installasjoner, handel med el-utstyr og annen konsulentbistand, herunder deltakelse i andre selskaper med tilsvarende formål.;specific;el-installasjoner el-utstyr konsulent-og konsulentbistand montørarbeid rådgivningstjenester;installation, trade/retail;;
980507653;ASTRAKOM AS;6;;Installasjonsvirksomhet, handel, industri innen elektro og elektrotekniske produkter og hva herved står i forbindelse. Investering i verdipapirer mv.;specific;elektrotekniske industri installasjonsvirksomhet verdipapirer;installation, automation/industrial, trade/retail;;
927452979;ATI ELEKTRO AS;14;www.ati-elektro.no;Å tilby rør-, elektro- og ventilasjonstjenester til private og offentlige kunder, samt det som naturlig står i forbindelse med dette.;specific;elektro- rør- tilby ventilasjonstjenester;;;
893022392;ATOM ELEKTRO AS;49;www.atomelektro.no;Elektriske installasjoner, elektroentreprenørtjenester, omsetning og utvikling av fast eiendom, samt deltagelse i andre selskaper med tilsvarende virksomhet.;specific;deltagelse elektroentreprenørtjenester fast omsetning selskaper;installation;;
929008596;AURLAND ELEKTRISKE AS;12;;Drive elektrisk instalasjonsvirksomhet og handel med elektriske artikler.;generic;artikler instalasjonsvirksomhet;trade/retail;;
918595317;AURSKOG ELEKTRISKE INSTALLASJON AS;19;;Elektrisk installasjon.;boilerplate;;installation;;
997003578;AUSTAD ELEKTRO AS;8;;Salg av elektrotjenester og produkter som naturlig hører til i bransjen. Selskapet kan også delta i andre bedrifter gjennom oppkjøp eller lignende.;specific;bransjen delta elektrotjenester gjennom oppkjøp;;;
992243600;AUTOMASJON OG MONTASJE AS;13;;Salg, montering og reprasjon av elektriske anlegg, samt det som naturlig faller innunder næringen.;specific;faller innunder montering næringen reprasjon;;;
879788072;AUTOMATIKK-SERVICE AS;9;;Teknisk service, salg og kjøp av elektronisk utstyr.;specific;elektronisk teknisk utstyr;;;
930681601;AUTOSPARK AS;13;;Utleie av arbeidskraft som konsulent, elektriker og automstiker til olje, næring, fiskeindustri og hus. Samt i fremtiden vil selskape prisejobber å levere hele systemer innen elektro, automasjon og mekanisk.;specific;arbeidskraft automasjon automstiker fiskeindustri fremtiden hele hus mekanisk næring olje prisejobber selskape systemer;automation/industrial;;
976969324;AV & PÅ ELEKTRO AS;12;www.avogpaa.no;Elektrisk installasjonsvirksomhet, handel, import av el-prod., samt hva som står i forbindelse med dette, herunder deltakelse i andre selskaper og eiendom og drift av denne.;specific;denne el-prod installasjonsvirksomhet;installation, trade/retail;;
931019724;AV BYGG AS;196;;Elektrisk installasjonsarbeid. Rørleggertjenester. Tømrer/Snekkertjenester.;specific;rørleggertjenester snekkertjenester tømrer;installation;;
932369222;AV INSTALLASJON OG SYSTEMTEKNIKK AS;6;;Salg og installasjon av AV-teknisk utstyr, som lyd, bilde, lys og styring av dette hos næringskunder. Service og reparasjon av AV-teknisk utstyr.;specific;av-teknisk bilde hos lyd lys næringskunder reparasjon styring utstyr;installation, automation/industrial;;
990226970;AVARN SECURITY INNLANDET AS;22;www.nokas.no;Handel med låser, alarmer og annet sikkerhetsutstyr samt deltagelse i andre virksomheter som faller under dette.;specific;alarmer deltagelse faller låser sikkerhetsutstyr;security/telecom, trade/retail;;
979276141;AVARN SECURITY TEKNIKK SØR AS;59;www.nokas-sor.no;Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr.;specific;engroshandel jernvarer oppvarmingsutstyr rørleggerartikler;;;
919444983;AVI ELEKTRO AS;5;www.avielektro.no;Å bli en lokal elektroinstallatør i folloregionen.;specific;bli elektroinstallatør folloregionen lokal;;;
918441514;AVINEERING AS;8;;Salg, installasjon og vedlikehold av navigasjonsinstrumenter og antennesystemer til bruk i flytrafikk.;specific;antennesystemer bruk flytrafikk navigasjonsinstrumenter;installation;;
910405004;AVITELL AS;121;www.avitell.no;Elektrisk installasjon og alt hva derved står i forbindelse.;generic;derved;installation;;
917457999;AVITRON NORGE AS;11;;Installasjon og salg av elektrisk utstyr.;generic;utstyr;installation, trade/retail;;
992025301;AVS ELEKTRO AS;8;;Utføre elektroinstallasjon for industribygg, privatbygg og anlegg samt beslektet virksomhet. Kjøp og salg av aksjer, eiendommer, tomter og øvrig investeringsvirksomhet og kapitalforvaltning, herunder deltakelse i andre selskap gjennom aksjebesittelse eller på annen måte.;specific;aksjebesittelse beslektet deltakelse eiendo gjennom industribygg investeringsvirksomhet kapitalforvaltning måte privatbygg tomter utføre øvrig;installation, automation/industrial;;
933585050;AXEL SOLUTIONS AS;10;;Elektrikertjenester.;generic;elektrikertjenester;;;
934920333;B E ELEKTRO AS;5;;Elektrikertjenester.;generic;elektrikertjenester;;;
959682496;B MIKKELSEN AS;19;;Drive handel, elektrisk installasjon, og alt som står i forbindelse med det, samt deltagelse i andre selskaper med lignende virksomhet.;generic;deltagelse selskaper;installation, trade/retail;;
922366063;B/R ENERGI AS;8;;Energibransjen: Drifte og vedlikeholde infrastruktur til netteiere, bedrifter og privatkunder, prosjektoppdrag innenfor høy-,lavspent spenningsnivå, leder for sikkerhetsoppdrag, konsulentoppdrag for netteiere og bedrifter, driftslederskap på private høyspentanlegg, utleie av kompetanse og personell til nett-entreprenører, termografi og installasjon: Utføre store og små installasjonsoppdrag, nyanlegg, serviceoppdrag og termografi.;specific;driftslederskap energibransjen høy- høyspentanlegg infrastruktur installasjonsoppdrag kompetanse konsulentoppdrag lavspent leder nett-entreprenører netteiere nyanlegg personell privatkunder prosjektoppdrag serviceoppdrag sikkerhetsoppdrag små spenningsnivå store termografi utføre vedlikeholde;installation, solar/energy, security/telecom;;
952438360;BAKKE EL-INSTALLASJON AS;28;www.bakkeelinst.no;Installasjonsvirksomhet og alt hva hermed står i naturlig forbindelse, samt deltagelse i andre selskap med samme formål.;generic;deltagelse installasjonsvirksomhet;installation;;
917151792;BAKKEN-ELEKTRO AS;7;;Elektroinstallasjoner, handel og alt hva dermed står i forbindelse med dette.;boilerplate;;installation, trade/retail;;
923093508;BALLANGEN UTVIKLING AS;10;;Bidra til en langsiktig vekst gjennom: i) investeringer i næringsvirksomhet i regionen som også skal sikre tilførsel av verdier i det geografiske området som ved opprettelsen av stiftelsen utgjorde Ballangen kommune, og ii) utdeling av midler til allmennyttige formål og veldedige eller allmennyttige organisasjoner i det geografiske området som ved opprettelsen av stiftelsen utgjorde Ballangen kommune.;specific;allmennyttige ballangen bidra geografiske gjennom langsiktig midler næringsvirksomhet området opprettelsen organisasjoner regionen sikre stiftelsen tilførsel une utdeling utgjorde vekst veldedige verdier;;;
921205511;BALSFJORD ELEKTRO AS;5;;Elektroinstallatør som utfører prosjektering, rådgivning, installasjon og service på sterk- og svakstrømsanlegg, elsikkerhetstjenester, termografi og annet som naturlig faller sammen med dette.;specific;elektroinstallatør elsikkerhetstjenester faller prosjektering sterk- svakstrømsanlegg termografi utfører;installation, security/telecom;;
814211002;BARONA HUMAN RESOURCE SERVICES AS;5;www.barona.no;Investere i aksjer samt hva hermed står i forbindelse, herunder delta i andre virksomheter.;generic;delta investere;;;
828648802;BARONA TEKNISK INSTALLASJON AS;18;;Elektrisk installasjonsarbeid.;boilerplate;;installation;;
922146098;BAUTA ELECTRO AS;18;;Elektroarbeider og installasjon mot maritime industri, samt tilhørende virksomhet. I tillegg kan selskapet erverve eller delta i andre selskaper med lignende virksomhet.;specific;delta elektroarbeider erverve industri maritime selskaper tilhørende tillegg;installation, automation/industrial;;
995041340;BB ELEKTRO AS;7;;Utføre elektriske innstallasjoner og tilknyttet virksomhet i Finnøy nærliggende kommuner.;specific;finnøy innstallasjoner nærliggende uner utføre;;;
976000390;BB ELEKTRO BJØRN BAKKE AS;7;www.bbelektro.no;Elektroinstallatør.;generic;elektroinstallatør;;;
886658702;BDM ELEKTRO AS;12;;EL installasjon med beslektet virksomhet og detaljhandel elektro samt rørleggertjenester med beslektet virksomhet inkl. detaljhandel av utstyr og våtromsinnredninger.;specific;beslektet detaljhandel inkl rørleggertjenester utstyr våtromsinnredninger;installation;;
880859862;BE ELEKTRO AS;25;;Elektrisk installasjonsarbeide.;generic;installasjonsarbeide;installation;;
922020485;BEDRE ELEKTRO AS;8;;Drive elektrisk installasjon og i bolig og næringsbygg samt kjøp og salg av varer og tjenester som ligger i tilknytning til dette. Delta i andre selskaper med liknende virksomhet.;specific;bolig delta ligger liknende næringsbygg selskaper varer;installation;;
919597690;BELAM NORGE AS;40;www.wbs.as;Elektriske installasjoner;boilerplate;;installation;;
